"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","reference_no","is_extant","n_occs"
"420428","420428","txn","","","Coerebidae","","420428","family","Coerebidae","39441","72610","extant","0"
"428199","428199","txn","","","Scytalopidae","","428199","family","Scytalopidae","39441","74241","extant","0"
"424135","424135","txn","","","Yunnanus","","424135","genus","Yunnanus","39441","73262","extinct","1"
"424136","424136","txn","","","Yunnanus gaoyuansis","","424136","species","Yunnanus gaoyuansis","424135","73262","extinct","1"
"368329","368329","txn","","","Rhipiduridae","","368329","family","Rhipiduridae","39441","65172","extant","16"
"143827","143827","txn","","","Rhipidura","","143827","genus","Rhipidura","368329","29521","extant","16"
"372616","372617","txn","","","Rhipidura rufifrons","","372616","species","Rhipidura rufifrons","143827","65172","extant","2"
"143829","143830","txn","","","Rhipidura fuliginosa","","143829","species","Rhipidura fuliginosa","143827","29521","extant","13"
"368982","368982","txn","","","Prunellidae","","368982","family","Prunellidae","39441","65172","extant","15"
"368981","368981","txn","","","Prunella","","368981","genus","Prunella","368982","65172","extant","15"
"368993","368994","txn","","","Prunella collaris","","368993","species","Prunella collaris","368981","65172","extant","10"
"368990","368991","txn","","","Prunella modularis","","368990","species","Prunella modularis","368981","12782","extant","5"
"368326","368326","txn","","","Mohoidae","","368326","family","Mohoidae","39441","65172","extant","3"
"186410","186410","txn","","","Chaetoptila","","186410","genus","Chaetoptila","368326","36280","extant","2"
"428844","428845","txn","","","Chaetoptila angustipluma","","428844","species","Chaetoptila angustipluma","186410","65172","extant","1"
"186406","186406","txn","","","Moho","","186406","genus","Moho","368326","36280","extinct","1"
"186407","186407","txn","","","Moho braccatus","","186407","species","Moho braccatus","186406","36280","extinct","1"
"186408","186408","txn","","","Moho apicalis","","186408","species","Moho apicalis","186406","36280","extinct","0"
"186409","368328","txn","","","Moho bishopi","","186409","species","Moho bishopi","186406","65172","extinct","0"
"134484","134484","txn","","","Sturnidae","","134484","family","Sturnidae","39441","28307","extant","84"
"371215","371215","txn","","","Aplonis","","371215","genus","Aplonis","134484","65172","extant","33"
"372819","372819","txn","","","Aplonis diluvialis","","372819","species","Aplonis diluvialis","371215","66155","extinct","1"
"372582","372582","txn","","","Lamprothornis","subjective synonym of","371215","genus","Aplonis","134484","65172","extant","33"
"371214","371216","txn","","","Aplonis tabuensis","","371214","species","Aplonis tabuensis","371215","65172","extant","13"
"372583","372584","txn","","","Aplonis opaca","","372583","species","Aplonis opaca","371215","65172","extant","18"
"371809","371809","txn","","","Cryptopsar","","371809","genus","Cryptopsar","134484","65977","extinct","3"
"371810","371810","txn","","","Cryptopsar ischyrhynchus","","371810","species","Cryptopsar ischyrhynchus","371809","65977","extinct","3"
"370410","370410","txn","","","Pastor","","370410","genus","Pastor","134484","65172","extant","1"
"370409","370411","txn","","","Pastor roseus","","370409","species","Pastor roseus","370410","12782","extant","1"
"372857","372857","txn","","","Mino","","372857","genus","Mino","134484","65172","extant","1"
"372858","372858","txn","","","Mino dumontii","","372858","species","Mino dumontii","372857","65172","extant","1"
"134487","134487","txn","","","Sturnus","","134487","genus","Sturnus","134484","28307","extant","36"
"365956","365956","txn","","","Sturnus vulgaris","","365956","species","Sturnus vulgaris","134487","12782","extant","24"
"371451","371451","txn","","","Fregilupus","","371451","genus","Fregilupus","134484","65172","extinct","1"
"371452","371453","txn","","","Fregilupus varius","","371452","species","Fregilupus varius","371451","65172","extinct","1"
"368093","368093","txn","","","Gracula","","368093","genus","Gracula","134484","65172","extant","0"
"134485","134485","txn","","","Sturnini","","134485","tribe","Sturnini","134484","28307","extant","0"
"370616","370616","txn","","","Acridotheres","","370616","genus","Acridotheres","134484","65172","extant","1"
"370953","370953","txn","","","Necropsar","","370953","genus","Necropsar","134484","65907","extinct","8"
"370954","370954","txn","","","Necropsar rodericanus","","370954","species","Necropsar rodericanus","370953","65907","extinct","8"
"99144","99144","txn","","","Ptilonorhynchidae","","99144","family","Ptilonorhynchidae","39441","24173","extant","3"
"255529","255529","txn","","","Ptilonorhynchus","","255529","genus","Ptilonorhynchus","99144","44314","extant","2"
"255530","368173","txn","","","Ptilonorhynchus violaceus","","255530","species","Ptilonorhynchus violaceus","255529","44314","extant","2"
"479031","479031","txn","","","Sericuloides","","479031","genus","Sericuloides","99144","86482","extinct","1"
"479032","479032","txn","","","Sericuloides marynguyenae","","479032","species","Sericuloides marynguyenae","479031","86482","extinct","1"
"255517","255517","txn","","","Orthonychidae","","255517","family","Orthonychidae","39441","44314","extant","2"
"373409","373409","txn","","","Orthonyx","","373409","genus","Orthonyx","255517","65172","extant","2"
"430863","430863","txn","","","Orthonyx kaldowinyeri","","430863","species","Orthonyx kaldowinyeri","373409","74750","extinct","0"
